Move,Depth,Value,Alpha,Beta
C8,3,10,55,10010
D9,2,55,55,10010
C9,3,10,55,10010
D9,2,55,55,10010
C10,3,5,55,10010
D9,2,55,55,10010
D7,3,6,55,10010
D9,2,55,55,10010
D10,3,10,55,10010
D9,2,55,55,10010
E7,3,10,55,10010
D9,2,55,55,10010
E8,3,15,55,10010
D9,2,55,55,10010
E10,3,10,55,10010
D9,2,55,55,10010
F7,3,505,55,10010
D9,2,505,505,10010
F8,3,10,505,10010
D9,2,505,505,10010
F10,3,25,505,10010
D9,2,505,505,10010
F11,3,11,505,10010
D9,2,505,505,10010
F12,3,10,505,10010
D9,2,505,505,10010
F13,3,6,505,10010
D9,2,505,505,10010
G7,3,55,505,10010
D9,2,505,505,10010
G13,3,6,505,10010
D9,2,505,505,10010
H5,3,5,505,10010
D9,2,505,505,10010
H6,3,55,505,10010
D9,2,505,505,10010
H7,3,12,505,10010
D9,2,505,505,10010
H12,3,10,505,10010
D9,2,505,505,10010
H13,3,10,505,10010
D9,2,505,505,10010
I5,3,5,505,10010
D9,2,505,505,10010
I11,3,6,505,10010
D9,2,505,505,10010
I12,3,5,505,10010
D9,2,505,505,10010
J5,3,5,505,10010
D9,2,505,505,10010
J6,3,20,505,10010
D9,2,505,505,10010
J7,3,57,505,10010
D9,2,505,505,10010
J10,3,55,505,10010
D9,2,505,505,10010
J11,3,505,505,10010
D9,2,505,505,10010
K5,3,5,505,10010
D9,2,505,505,10010
K6,3,6,505,10010
D9,2,505,505,10010
K9,3,55,505,10010
D9,2,505,505,10010
K10,3,5,505,10010
D9,2,505,505,10010
L5,3,5,505,10010
D9,2,505,505,10010
L7,3,10010,505,10010
D9,2,10010,505,10010
D8,1,10010,-Infinity,10010
D10,2,-Infinity,-Infinity,10010
C7,3,55,-Infinity,10010
D10,2,55,55,10010
C8,3,10,55,10010
D10,2,55,55,10010
C9,3,10,55,10010
D10,2,55,55,10010
C10,3,5,55,10010
D10,2,55,55,10010
C11,3,5,55,10010
D10,2,55,55,10010
D7,3,10,55,10010
D10,2,55,55,10010
D9,3,7,55,10010
D10,2,55,55,10010
D11,3,5,55,10010
D10,2,55,55,10010
E7,3,10,55,10010
D10,2,55,55,10010
E8,3,15,55,10010
D10,2,55,55,10010
E10,3,10,55,10010
D10,2,55,55,10010
E11,3,5,55,10010
D10,2,55,55,10010
F7,3,505,55,10010
D10,2,505,505,10010
F8,3,6,505,10010
D10,2,505,505,10010
F10,3,25,505,10010
D10,2,505,505,10010
F11,3,11,505,10010
D10,2,505,505,10010
F12,3,10,505,10010
D10,2,505,505,10010
F13,3,6,505,10010
D10,2,505,505,10010
G7,3,55,505,10010
D10,2,505,505,10010
G13,3,6,505,10010
D10,2,505,505,10010
H5,3,5,505,10010
D10,2,505,505,10010
H6,3,55,505,10010
D10,2,505,505,10010
H7,3,12,505,10010
D10,2,505,505,10010
H12,3,10,505,10010
D10,2,505,505,10010
H13,3,10,505,10010
D10,2,505,505,10010
I5,3,5,505,10010
D10,2,505,505,10010
I11,3,6,505,10010
D10,2,505,505,10010
I12,3,5,505,10010
D10,2,505,505,10010
J5,3,5,505,10010
D10,2,505,505,10010
J6,3,20,505,10010
D10,2,505,505,10010
J7,3,57,505,10010
D10,2,505,505,10010
J10,3,55,505,10010
D10,2,505,505,10010
J11,3,505,505,10010
D10,2,505,505,10010
K5,3,5,505,10010
D10,2,505,505,10010
K6,3,6,505,10010
D10,2,505,505,10010
K9,3,55,505,10010
D10,2,505,505,10010
K10,3,5,505,10010
D10,2,505,505,10010
L5,3,5,505,10010
D10,2,505,505,10010
L7,3,10010,505,10010
D10,2,10010,505,10010
D8,1,10010,-Infinity,10010
E7,2,-Infinity,-Infinity,10010
C7,3,55,-Infinity,10010
E7,2,55,55,10010
C8,3,10,55,10010
E7,2,55,55,10010
C9,3,6,55,10010
E7,2,55,55,10010
D6,3,5,55,10010
E7,2,55,55,10010
D7,3,10,55,10010
E7,2,55,55,10010
D9,3,11,55,10010
E7,2,55,55,10010
D10,3,10,55,10010
E7,2,55,55,10010
E6,3,5,55,10010
E7,2,55,55,10010
E8,3,11,55,10010
E7,2,55,55,10010
E10,3,10,55,10010
E7,2,55,55,10010
F6,3,5,55,10010
E7,2,55,55,10010
F7,3,505,55,10010
E7,2,505,505,10010
F8,3,10,505,10010
E7,2,505,505,10010
F10,3,25,505,10010
E7,2,505,505,10010
F11,3,11,505,10010
E7,2,505,505,10010
F12,3,10,505,10010
E7,2,505,505,10010
F13,3,6,505,10010
E7,2,505,505,10010
G7,3,55,505,10010
E7,2,505,505,10010
G13,3,6,505,10010
E7,2,505,505,10010
H5,3,5,505,10010
E7,2,505,505,10010
H6,3,55,505,10010
E7,2,505,505,10010
H7,3,12,505,10010
E7,2,505,505,10010
H12,3,10,505,10010
E7,2,505,505,10010
H13,3,10,505,10010
E7,2,505,505,10010
I5,3,5,505,10010
E7,2,505,505,10010
I11,3,6,505,10010
E7,2,505,505,10010
I12,3,5,505,10010
E7,2,505,505,10010
J5,3,5,505,10010
E7,2,505,505,10010
J6,3,20,505,10010
E7,2,505,505,10010
J7,3,57,505,10010
E7,2,505,505,10010
J10,3,55,505,10010
E7,2,505,505,10010
J11,3,505,505,10010
E7,2,505,505,10010
K5,3,5,505,10010
E7,2,505,505,10010
K6,3,6,505,10010
E7,2,505,505,10010
K9,3,55,505,10010
E7,2,505,505,10010
K10,3,5,505,10010
E7,2,505,505,10010
L5,3,5,505,10010
E7,2,505,505,10010
L7,3,10010,505,10010
E7,2,10010,505,10010
D8,1,10010,-Infinity,10010
E8,2,-Infinity,-Infinity,10010
C7,3,54,-Infinity,10010
E8,2,54,54,10010
C8,3,5,54,10010
E8,2,54,54,10010
C9,3,9,54,10010
E8,2,54,54,10010
D7,3,9,54,10010
E8,2,54,54,10010
D9,3,10,54,10010
E8,2,54,54,10010
D10,3,9,54,10010
E8,2,54,54,10010
E7,3,9,54,10010
E8,2,54,54,10010
E10,3,5,54,10010
E8,2,54,54,10010
F7,3,504,54,10010
E8,2,504,504,10010
F8,3,9,504,10010
E8,2,504,504,10010
F10,3,24,504,10010
E8,2,504,504,10010
F11,3,10,504,10010
E8,2,504,504,10010
F12,3,9,504,10010
E8,2,504,504,10010
F13,3,5,504,10010
E8,2,504,504,10010
G7,3,54,504,10010
E8,2,504,504,10010
G13,3,5,504,10010
E8,2,504,504,10010
H5,3,4,504,10010
E8,2,504,504,10010
H6,3,54,504,10010
E8,2,504,504,10010
H7,3,11,504,10010
E8,2,504,504,10010
H12,3,9,504,10010
E8,2,504,504,10010
H13,3,9,504,10010
E8,2,504,504,10010
I5,3,4,504,10010
E8,2,504,504,10010
I11,3,5,504,10010
E8,2,504,504,10010
I12,3,4,504,10010
E8,2,504,504,10010
J5,3,4,504,10010
E8,2,504,504,10010
J6,3,19,504,10010
E8,2,504,504,10010
J7,3,56,504,10010
E8,2,504,504,10010
J10,3,54,504,10010
E8,2,504,504,10010
J11,3,504,504,10010
E8,2,504,504,10010
K5,3,4,504,10010
E8,2,504,504,10010
K6,3,5,504,10010
E8,2,504,504,10010
K9,3,54,504,10010
E8,2,504,504,10010
K10,3,4,504,10010
E8,2,504,504,10010
L5,3,4,504,10010
E8,2,504,504,10010
L7,3,10009,504,10010
E8,2,10009,10009,10010
L8,3,9,10009,10010
E8,2,10009,10009,10010
L9,3,4,10009,10010
E8,2,10009,10009,10010
M5,3,4,10009,10010
E8,2,10009,10009,10010
M6,3,4,10009,10010
E8,2,10009,10009,10010
M7,3,4,10009,10010
E8,2,10009,10009,10010
D8,1,10009,-Infinity,10009
E10,2,-Infinity,-Infinity,10009
C7,3,5,-Infinity,10009
E10,2,5,5,10009
C8,3,-40,5,10009
E10,2,5,5,10009
C9,3,-40,5,10009
E10,2,5,5,10009
D7,3,-40,5,10009
E10,2,5,5,10009
D9,3,-39,5,10009
E10,2,5,5,10009
D10,3,-40,5,10009
E10,2,5,5,10009
D11,3,455,5,10009
E10,2,455,455,10009
E7,3,-40,455,10009
E10,2,455,455,10009
E8,3,-39,455,10009
E10,2,455,455,10009
E11,3,-45,455,10009
E10,2,455,455,10009
F7,3,455,455,10009
E10,2,455,455,10009
F8,3,-40,455,10009
E10,2,455,455,10009
F10,3,-35,455,10009
E10,2,455,455,10009
F11,3,-43,455,10009
E10,2,455,455,10009
F12,3,-40,455,10009
E10,2,455,455,10009
F13,3,-44,455,10009
E10,2,455,455,10009
G7,3,5,455,10009
E10,2,455,455,10009
G13,3,-44,455,10009
E10,2,455,455,10009
H5,3,-45,455,10009
E10,2,455,455,10009
H6,3,5,455,10009
E10,2,455,455,10009
H7,3,462,455,10009
E10,2,462,462,10009
H12,3,-40,462,10009
E10,2,462,462,10009
H13,3,-40,462,10009
E10,2,462,462,10009
I5,3,-45,462,10009
E10,2,462,462,10009
I11,3,-44,462,10009
E10,2,462,462,10009
I12,3,-45,462,10009
E10,2,462,462,10009
J5,3,-45,462,10009
E10,2,462,462,10009
J6,3,-30,462,10009
E10,2,462,462,10009
J7,3,7,462,10009
E10,2,462,462,10009
J10,3,5,462,10009
E10,2,462,462,10009
J11,3,455,462,10009
E10,2,462,462,10009
K5,3,-45,462,10009
E10,2,462,462,10009
K6,3,-44,462,10009
E10,2,462,462,10009
K9,3,5,462,10009
E10,2,462,462,10009
K10,3,-45,462,10009
E10,2,462,462,10009
L5,3,-45,462,10009
E10,2,462,462,10009
L7,3,9960,462,10009
E10,2,9960,9960,10009
L8,3,-40,9960,10009
E10,2,9960,9960,10009
L9,3,-45,9960,10009
E10,2,9960,9960,10009
M5,3,-45,9960,10009
E10,2,9960,9960,10009
M6,3,-45,9960,10009
E10,2,9960,9960,10009
M7,3,-45,9960,10009
E10,2,9960,9960,10009
D8,1,9960,-Infinity,9960
F7,2,-Infinity,-Infinity,9960
C7,3,-4945,-Infinity,9960
F7,2,-4945,-4945,9960
C8,3,-4990,-4945,9960
F7,2,-4945,-4945,9960
C9,3,-4990,-4945,9960
F7,2,-4945,-4945,9960
D7,3,-4990,-4945,9960
F7,2,-4945,-4945,9960
D9,3,-4989,-4945,9960
F7,2,-4945,-4945,9960
D10,3,-4990,-4945,9960
F7,2,-4945,-4945,9960
E6,3,-4995,-4945,9960
F7,2,-4945,-4945,9960
E7,3,-4990,-4945,9960
F7,2,-4945,-4945,9960
E8,3,-4985,-4945,9960
F7,2,-4945,-4945,9960
E10,3,-4990,-4945,9960
