Move,Depth,Value
J9,2,9
J7,1,-5
J10,2,0
J7,1,-5
K6,2,-90
J7,1,-90
K7,2,10
J7,1,-90
K8,2,10
J7,1,-90
root,0,-4
J8,1,Infinity
F6,2,1
J8,1,1
F7,2,0
J8,1,0
F8,2,-9
J8,1,-9
F9,2,-9
J8,1,-9
F10,2,0
J8,1,-9
F11,2,0
J8,1,-9
G6,2,1
J8,1,-9
G9,2,-14
J8,1,-14
G11,2,-4
J8,1,-14
H6,2,1
J8,1,-14
H7,2,-5
J8,1,-14
H11,2,-4
J8,1,-14
I7,2,-4
J8,1,-14
I10,2,0
J8,1,-14
I11,2,1
J8,1,-14
J7,2,1
J8,1,-14
J9,2,0
J8,1,-14
J10,2,-9
J8,1,-14
K7,2,1
J8,1,-14
K8,2,1
J8,1,-14
K9,2,1
J8,1,-14
root,0,-4
J9,1,Infinity
F6,2,5
J9,1,5
F7,2,4
J9,1,4
F8,2,-5
J9,1,-5
F9,2,-5
J9,1,-5
F10,2,4
J9,1,-5
F11,2,4
J9,1,-5
G6,2,5
J9,1,-5
G9,2,-10
J9,1,-10
G11,2,0
J9,1,-10
H6,2,5
J9,1,-10
H7,2,-1
J9,1,-10
H11,2,0
J9,1,-10
I7,2,0
J9,1,-10
I10,2,4
J9,1,-10
I11,2,5
J9,1,-10
J7,2,5
J9,1,-10
J8,2,4
J9,1,-10
J10,2,-5
J9,1,-10
K8,2,5
J9,1,-10
K9,2,5
J9,1,-10
K10,2,5
J9,1,-10
root,0,-4
J10,1,Infinity
F6,2,0
J10,1,0
F7,2,-1
J10,1,-1
F8,2,-10
J10,1,-10
F9,2,-10
J10,1,-10
F10,2,-1
J10,1,-10
F11,2,-1
J10,1,-10
G6,2,0
J10,1,-10
G9,2,-15
J10,1,-15
G11,2,-5
J10,1,-15
H6,2,0
J10,1,-15
H7,2,-6
J10,1,-15
H11,2,-5
J10,1,-15
I7,2,-5
J10,1,-15
I10,2,-1
J10,1,-15
I11,2,0
J10,1,-15
J7,2,0
J10,1,-15
J8,2,-1
J10,1,-15
J9,2,-1
J10,1,-15
J11,2,0
J10,1,-15
K9,2,0
J10,1,-15
K10,2,0
J10,1,-15
K11,2,0
J10,1,-15
root,0,-4
