Move,Depth,Value
H5,3,-450
F6,2,55
H6,3,-395
F6,2,55
H7,3,-398
F6,2,55
H12,3,-445
F6,2,55
H13,3,-445
F6,2,55
I5,3,-450
F6,2,55
I11,3,-449
F6,2,55
I12,3,-450
F6,2,55
J5,3,-450
F6,2,55
J6,3,-435
F6,2,55
J7,3,-398
F6,2,55
J10,3,550
F6,2,550
J11,3,50
F6,2,550
K5,3,-450
F6,2,550
K6,3,-449
F6,2,550
K9,3,-400
F6,2,550
K10,3,-450
F6,2,550
L5,3,-450
F6,2,550
L7,3,9555
F6,2,9555
L8,3,-445
F6,2,9555
L9,3,-450
F6,2,9555
M5,3,-450
F6,2,9555
M6,3,-450
F6,2,9555
M7,3,-450
F6,2,9555
G7,1,9555
F7,2,-Infinity
D8,3,-4945
F7,2,-4945
D9,3,-4949
F7,2,-4945
D10,3,-4945
F7,2,-4945
E6,3,-4950
F7,2,-4945
E7,3,-4950
F7,2,-4945
E8,3,-4945
F7,2,-4945
E10,3,-4945
F7,2,-4945
F6,3,50
F7,2,50
F8,3,-4900
F7,2,50
F10,3,-4939
F7,2,50
F11,3,-4944
F7,2,50
F12,3,-4945
F7,2,50
F13,3,-4949
F7,2,50
G6,3,-4949
F7,2,50
G13,3,-4949
F7,2,50
H5,3,-4950
F7,2,50
H6,3,-4895
F7,2,50
H7,3,-4938
F7,2,50
H12,3,-4945
F7,2,50
H13,3,-4945
F7,2,50
I5,3,-4950
F7,2,50
I11,3,-4949
F7,2,50
I12,3,-4950
F7,2,50
J5,3,-4950
F7,2,50
J6,3,-4935
F7,2,50
J7,3,-4898
F7,2,50
J10,3,50
F7,2,50
J11,3,-4950
F7,2,50
K5,3,-4950
F7,2,50
K6,3,-4949
F7,2,50
K9,3,-4900
F7,2,50
K10,3,-4950
F7,2,50
L5,3,-4950
F7,2,50
L7,3,5055
F7,2,5055
L8,3,-4945
F7,2,5055
L9,3,-4950
F7,2,5055
M5,3,-4950
F7,2,5055
M6,3,-4950
F7,2,5055
M7,3,-4950
F7,2,5055
G7,1,5055
F8,2,-Infinity
D8,3,48
F8,2,48
D9,3,44
F8,2,48
D10,3,44
F8,2,48
E7,3,43
F8,2,48
E8,3,48
F8,2,48
E10,3,48
F8,2,48
F6,3,5043
F8,2,5043
F7,3,548
F8,2,5043
F10,3,54
F8,2,5043
F11,3,49
F8,2,5043
F12,3,48
F8,2,5043
F13,3,44
F8,2,5043
G6,3,44
F8,2,5043
G13,3,44
F8,2,5043
H5,3,43
F8,2,5043
H6,3,94
F8,2,5043
H7,3,95
F8,2,5043
H12,3,48
F8,2,5043
H13,3,48
F8,2,5043
I5,3,43
F8,2,5043
I11,3,44
F8,2,5043
I12,3,43
F8,2,5043
J5,3,43
F8,2,5043
J6,3,58
F8,2,5043
J7,3,95
F8,2,5043
J10,3,5043
F8,2,5043
J11,3,543
F8,2,5043
K5,3,43
F8,2,5043
K6,3,44
F8,2,5043
K9,3,93
F8,2,5043
K10,3,43
F8,2,5043
L5,3,43
F8,2,5043
L7,3,10048
F8,2,10048
L8,3,48
F8,2,10048
L9,3,43
F8,2,10048
M5,3,43
F8,2,10048
M6,3,43
F8,2,10048
M7,3,43
F8,2,10048
G7,1,5055
F10,2,-Infinity
D8,3,44
F10,2,44
D9,3,44
F10,2,44
D10,3,48
F10,2,48
E8,3,48
F10,2,48
E10,3,48
F10,2,48
E11,3,43
F10,2,48
F6,3,5043
F10,2,5043
F7,3,548
F10,2,5043
F8,3,93
F10,2,5043
F11,3,49
F10,2,5043
F12,3,48
F10,2,5043
F13,3,44
F10,2,5043
G6,3,44
F10,2,5043
G13,3,44
F10,2,5043
H5,3,43
F10,2,5043
H6,3,98
F10,2,5043
H7,3,95
F10,2,5043
H12,3,48
F10,2,5043
H13,3,48
F10,2,5043
I5,3,43
F10,2,5043
I11,3,44
F10,2,5043
I12,3,43
F10,2,5043
J5,3,43
F10,2,5043
J6,3,58
F10,2,5043
J7,3,95
F10,2,5043
J10,3,5043
F10,2,5043
J11,3,543
F10,2,5043
K5,3,43
F10,2,5043
K6,3,44
F10,2,5043
K9,3,93
F10,2,5043
K10,3,43
F10,2,5043
L5,3,43
F10,2,5043
L7,3,10048
F10,2,10048
L8,3,48
F10,2,10048
L9,3,43
F10,2,10048
M5,3,43
F10,2,10048
M6,3,43
F10,2,10048
M7,3,43
F10,2,10048
G7,1,5055
F11,2,-Infinity
D8,3,5
F11,2,5
D9,3,1
F11,2,5
D10,3,5
F11,2,5
E8,3,5
F11,2,5
E10,3,5
F11,2,5
E11,3,500
F11,2,500
E12,3,0
F11,2,500
F6,3,5000
F11,2,5000
F7,3,505
F11,2,5000
F8,3,50
F11,2,5000
F10,3,11
F11,2,5000
F12,3,5
F11,2,5000
F13,3,1
F11,2,5000
G6,3,1
F11,2,5000
G13,3,1
F11,2,5000
H5,3,0
F11,2,5000
H6,3,55
F11,2,5000
H7,3,52
F11,2,5000
H12,3,5
F11,2,5000
H13,3,1
F11,2,5000
I5,3,0
F11,2,5000
I11,3,501
F11,2,5000
I12,3,0
F11,2,5000
J5,3,0
F11,2,5000
J6,3,15
F11,2,5000
J7,3,52
F11,2,5000
J10,3,5000
F11,2,5000
J11,3,500
F11,2,5000
K5,3,0
F11,2,5000
K6,3,1
F11,2,5000
K9,3,50
F11,2,5000
K10,3,0
F11,2,5000
L5,3,0
F11,2,5000
L7,3,10005
F11,2,10005
L8,3,5
F11,2,10005
L9,3,0
F11,2,10005
M5,3,0
F11,2,10005
M6,3,0
F11,2,10005
M7,3,0
F11,2,10005
G7,1,5055
F12,2,-Infinity
D8,3,54
F12,2,54
D9,3,50
F12,2,54
D10,3,54
F12,2,54
E8,3,54
F12,2,54
E10,3,54
F12,2,54
E11,3,49
F12,2,54
E12,3,49
F12,2,54
E13,3,49
F12,2,54
F6,3,5049
F12,2,5049
F7,3,554
F12,2,5049
F8,3,99
F12,2,5049
F10,3,60
F12,2,5049
F11,3,55
F12,2,5049
F13,3,50
F12,2,5049
G6,3,50
F12,2,5049
G13,3,50
F12,2,5049
H5,3,49
F12,2,5049
H6,3,104
F12,2,5049
H7,3,101
F12,2,5049
H12,3,50
F12,2,5049
H13,3,54
F12,2,5049
I5,3,49
F12,2,5049
I11,3,50
F12,2,5049
I12,3,49
F12,2,5049
J5,3,49
F12,2,5049
J6,3,64
F12,2,5049
J7,3,101
F12,2,5049
J10,3,5049
F12,2,5049
J11,3,549
F12,2,5049
K5,3,49
F12,2,5049
K6,3,50
F12,2,5049
K9,3,99
F12,2,5049
K10,3,49
F12,2,5049
L5,3,49
F12,2,5049
L7,3,10054
F12,2,10054
L8,3,54
F12,2,10054
L9,3,49
F12,2,10054
M5,3,49
F12,2,10054
M6,3,49
F12,2,10054
M7,3,49
F12,2,10054
G7,1,5055
F13,2,-Infinity
D8,3,55
F13,2,55
D9,3,51
F13,2,55
D10,3,55
F13,2,55
E8,3,55
F13,2,55
E10,3,55
F13,2,55
E12,3,50
F13,2,55
E13,3,50
F13,2,55
E14,3,50
F13,2,55
F6,3,5050
F13,2,5050
F7,3,555
F13,2,5050
F8,3,100
F13,2,5050
F10,3,61
F13,2,5050
F11,3,56
F13,2,5050
F12,3,55
F13,2,5050
F14,3,50
F13,2,5050
G6,3,51
F13,2,5050
G13,3,51
F13,2,5050
G14,3,50
F13,2,5050
H5,3,50
F13,2,5050
H6,3,105
F13,2,5050
H7,3,102
F13,2,5050
H12,3,55
F13,2,5050
H13,3,55
F13,2,5050
I5,3,50
F13,2,5050
I11,3,51
F13,2,5050
I12,3,50
F13,2,5050
J5,3,50
F13,2,5050
J6,3,65
F13,2,5050
J7,3,102
F13,2,5050
J10,3,5050
F13,2,5050
J11,3,550
F13,2,5050
K5,3,50
F13,2,5050
K6,3,51
F13,2,5050
K9,3,100
F13,2,5050
K10,3,50
F13,2,5050
L5,3,50
F13,2,5050
L7,3,10055
F13,2,10055
L8,3,55
F13,2,10055
L9,3,50
F13,2,10055
M5,3,50
F13,2,10055
M6,3,50
F13,2,10055
M7,3,50
F13,2,10055
G7,1,5055
G6,2,-Infinity
D8,3,55
G6,2,55
D9,3,51
G6,2,55
D10,3,55
G6,2,55
E8,3,55
G6,2,55
E10,3,55
G6,2,55
F5,3,50
G6,2,55
F6,3,5050
G6,2,5050
F7,3,555
G6,2,5050
F8,3,100
G6,2,5050
F10,3,61
G6,2,5050
F11,3,56
G6,2,5050
F12,3,55
G6,2,5050
F13,3,51
G6,2,5050
G5,3,50
G6,2,5050
G13,3,51
G6,2,5050
H5,3,50
G6,2,5050
H6,3,105
G6,2,5050
H7,3,101
G6,2,5050
H12,3,55
G6,2,5050
H13,3,55
G6,2,5050
I5,3,50
G6,2,5050
I11,3,51
G6,2,5050
I12,3,50
G6,2,5050
J5,3,50
G6,2,5050
J6,3,65
G6,2,5050
J7,3,102
G6,2,5050
J10,3,5050
G6,2,5050
J11,3,550
G6,2,5050
K5,3,50
G6,2,5050
K6,3,51
G6,2,5050
K9,3,100
G6,2,5050
K10,3,50
G6,2,5050
L5,3,50
G6,2,5050
L7,3,10055
G6,2,10055
L8,3,55
G6,2,10055
L9,3,50
G6,2,10055
M5,3,50
G6,2,10055
M6,3,50
G6,2,10055
M7,3,50
G6,2,10055
G7,1,5055
G13,2,-Infinity
D8,3,55
G13,2,55
D9,3,51
G13,2,55
D10,3,55
G13,2,55
E8,3,55
G13,2,55
E10,3,55
G13,2,55
F6,3,5050
G13,2,5050
F7,3,555
G13,2,5050
F8,3,100
G13,2,5050
F10,3,61
G13,2,5050
F11,3,56
G13,2,5050
F12,3,55
G13,2,5050
F13,3,51
G13,2,5050
F14,3,50
G13,2,5050
G6,3,51
G13,2,5050
G14,3,50
G13,2,5050
H5,3,50
G13,2,5050
H6,3,105
G13,2,5050
H7,3,102
G13,2,5050
H12,3,55
G13,2,5050
H13,3,55
G13,2,5050
H14,3,50
G13,2,5050
I5,3,50
G13,2,5050
I11,3,51
G13,2,5050
I12,3,50
G13,2,5050
J5,3,50
G13,2,5050
J6,3,65
G13,2,5050
J7,3,102
G13,2,5050
J10,3,5050
G13,2,5050
J11,3,550
G13,2,5050
K5,3,50
G13,2,5050
K6,3,51
G13,2,5050
K9,3,100
G13,2,5050
K10,3,50
G13,2,5050
L5,3,50
G13,2,5050
L7,3,10055
G13,2,10055
L8,3,55
G13,2,10055
L9,3,50
G13,2,10055
M5,3,50
G13,2,10055
M6,3,50
G13,2,10055
M7,3,50
G13,2,10055
G7,1,5055
H5,2,-Infinity
D8,3,50
H5,2,50
D9,3,46
H5,2,50
D10,3,50
H5,2,50
E8,3,50
H5,2,50
E10,3,50
H5,2,50
F6,3,5045
H5,2,5045
F7,3,550
H5,2,5045
F8,3,95
H5,2,5045
F10,3,56
H5,2,5045
F11,3,51
H5,2,5045
F12,3,50
H5,2,5045
F13,3,46
H5,2,5045
G4,3,45
H5,2,5045
G5,3,45
H5,2,5045
G6,3,46
H5,2,5045
G13,3,46
H5,2,5045
H4,3,45
H5,2,5045
H6,3,100
H5,2,5045
H7,3,97
H5,2,5045
H12,3,50
H5,2,5045
H13,3,50
H5,2,5045
I4,3,45
H5,2,5045
I5,3,45
H5,2,5045
I11,3,46
H5,2,5045
I12,3,45
H5,2,5045
J5,3,45
H5,2,5045
J6,3,60
H5,2,5045
J7,3,97
H5,2,5045
J10,3,5045
H5,2,5045
J11,3,545
H5,2,5045
K5,3,45
H5,2,5045
K6,3,46
H5,2,5045
K9,3,95
H5,2,5045
K10,3,45
H5,2,5045
L5,3,45
H5,2,5045
L7,3,10050
H5,2,10050
L8,3,50
H5,2,10050
L9,3,45
H5,2,10050
M5,3,45
H5,2,10050
M6,3,45
H5,2,10050
M7,3,45
H5,2,10050
G7,1,5055
H6,2,-Infinity
D8,3,50
H6,2,50
D9,3,46
H6,2,50
D10,3,50
H6,2,50
E8,3,50
H6,2,50
E10,3,50
H6,2,50
F6,3,5045
H6,2,5045
F7,3,550
H6,2,5045
F8,3,55
H6,2,5045
F10,3,56
H6,2,5045
F11,3,51
H6,2,5045
F12,3,50
H6,2,5045
F13,3,46
H6,2,5045
G5,3,45
H6,2,5045
G6,3,46
H6,2,5045
G13,3,46
H6,2,5045
H5,3,45
H6,2,5045
H7,3,96
H6,2,5045
H12,3,50
H6,2,5045
H13,3,50
H6,2,5045
I5,3,45
H6,2,5045
I11,3,46
H6,2,5045
I12,3,45
H6,2,5045
J5,3,45
H6,2,5045
J6,3,60
H6,2,5045
J7,3,97
H6,2,5045
J10,3,5045
H6,2,5045
J11,3,545
H6,2,5045
K5,3,45
H6,2,5045
K6,3,46
H6,2,5045
K9,3,55
H6,2,5045
K10,3,45
H6,2,5045
L5,3,45
H6,2,5045
L7,3,10050
H6,2,10050
L8,3,50
H6,2,10050
L9,3,45
H6,2,10050
M5,3,45
H6,2,10050
M6,3,45
H6,2,10050
M7,3,45
H6,2,10050
G7,1,5055
H7,2,-Infinity
D8,3,-4945
H7,2,-4945
D9,3,-4949
H7,2,-4945
D10,3,-4945
H7,2,-4945
E8,3,-4945
H7,2,-4945
E10,3,-4945
H7,2,-4945
F6,3,50
H7,2,50
F7,3,-4449
H7,2,50
F8,3,-4900
H7,2,50
F10,3,-4939
H7,2,50
F11,3,-4944
H7,2,50
F12,3,-4945
H7,2,50
F13,3,-4949
H7,2,50
G6,3,-4949
H7,2,50
G13,3,-4949
H7,2,50
H5,3,-4950
H7,2,50
H6,3,-4895
H7,2,50
H12,3,-4945
H7,2,50
H13,3,-4945
H7,2,50
I5,3,-4950
H7,2,50
I11,3,-4949
H7,2,50
I12,3,-4950
H7,2,50
J5,3,-4950
H7,2,50
J6,3,-4935
H7,2,50
J7,3,-4938
H7,2,50
J10,3,50
H7,2,50
J11,3,-4450
H7,2,50
K5,3,-4950
H7,2,50
K6,3,-4949
H7,2,50
K9,3,-4900
H7,2,50
K10,3,-4950
H7,2,50
L5,3,-4950
H7,2,50
L7,3,5055
H7,2,5055
L8,3,-4945
H7,2,5055
L9,3,-4950
H7,2,5055
M5,3,-4950
H7,2,5055
M6,3,-4950
H7,2,5055
M7,3,-4950
H7,2,5055
G7,1,5055
H12,2,-Infinity
D8,3,49
H12,2,49
D9,3,45
H12,2,49
D10,3,49
H12,2,49
E8,3,49
H12,2,49
E10,3,49
H12,2,49
F6,3,5044
H12,2,5044
F7,3,549
H12,2,5044
F8,3,94
H12,2,5044
F10,3,55
H12,2,5044
F11,3,50
H12,2,5044
F12,3,45
H12,2,5044
F13,3,45
H12,2,5044
G6,3,45
H12,2,5044
G13,3,45
H12,2,5044
H5,3,44
H12,2,5044
H6,3,99
H12,2,5044
H7,3,96
H12,2,5044
H13,3,49
H12,2,5044
I5,3,44
H12,2,5044
I11,3,45
H12,2,5044
I12,3,44
H12,2,5044
I13,3,44
H12,2,5044
J5,3,44
H12,2,5044
J6,3,59
H12,2,5044
J7,3,96
H12,2,5044
J10,3,5044
H12,2,5044
J11,3,544
H12,2,5044
K5,3,44
H12,2,5044
K6,3,45
H12,2,5044
K9,3,94
H12,2,5044
K10,3,44
H12,2,5044
L5,3,44
H12,2,5044
L7,3,10049
H12,2,10049
L8,3,49
H12,2,10049
L9,3,44
H12,2,10049
M5,3,44
H12,2,10049
M6,3,44
H12,2,10049
M7,3,44
H12,2,10049
G7,1,5055
H13,2,-Infinity
D8,3,55
H13,2,55
D9,3,51
H13,2,55
D10,3,55
H13,2,55
E8,3,55
H13,2,55
E10,3,55
H13,2,55
F6,3,5050
H13,2,5050
F7,3,555
H13,2,5050
F8,3,100
H13,2,5050
F10,3,61
H13,2,5050
F11,3,52
H13,2,5050
F12,3,55
H13,2,5050
F13,3,51
H13,2,5050
G6,3,51
H13,2,5050
G13,3,51
H13,2,5050
G14,3,50
H13,2,5050
H5,3,50
H13,2,5050
H6,3,105
H13,2,5050
H7,3,102
H13,2,5050
H12,3,55
H13,2,5050
H14,3,50
H13,2,5050
I5,3,50
H13,2,5050
I11,3,51
H13,2,5050
I12,3,50
H13,2,5050
I13,3,50
H13,2,5050
I14,3,50
H13,2,5050
J5,3,50
H13,2,5050
J6,3,65
H13,2,5050
J7,3,102
H13,2,5050
J10,3,5050
H13,2,5050
J11,3,550
H13,2,5050
K5,3,50
H13,2,5050
K6,3,51
H13,2,5050
K9,3,100
H13,2,5050
K10,3,50
H13,2,5050
L5,3,50
H13,2,5050
L7,3,10055
H13,2,10055
L8,3,55
H13,2,10055
L9,3,50
H13,2,10055
M5,3,50
H13,2,10055
M6,3,50
H13,2,10055
M7,3,50
H13,2,10055
G7,1,5055
I5,2,-Infinity
D8,3,54
I5,2,54
D9,3,50
I5,2,54
D10,3,54
I5,2,54
E8,3,54
I5,2,54
E10,3,54
I5,2,54
F6,3,5049
I5,2,5049
F7,3,554
I5,2,5049
F8,3,99
I5,2,5049
F10,3,60
I5,2,5049
F11,3,55
I5,2,5049
F12,3,54
I5,2,5049
F13,3,50
I5,2,5049
G6,3,50
I5,2,5049
G13,3,50
I5,2,5049
H4,3,49
I5,2,5049
H5,3,49
I5,2,5049
H6,3,100
I5,2,5049
H7,3,101
I5,2,5049
H12,3,54
I5,2,5049
H13,3,54
I5,2,5049
I4,3,49
I5,2,5049
I11,3,50
I5,2,5049
I12,3,49
I5,2,5049
J4,3,49
I5,2,5049
J5,3,49
I5,2,5049
J6,3,60
I5,2,5049
J7,3,101
I5,2,5049
J10,3,5049
I5,2,5049
J11,3,549
I5,2,5049
K5,3,49
I5,2,5049
K6,3,50
I5,2,5049
K9,3,99
I5,2,5049
K10,3,49
I5,2,5049
L5,3,49
I5,2,5049
L7,3,10054
I5,2,10054
L8,3,54
I5,2,10054
L9,3,49
I5,2,10054
M5,3,49
I5,2,10054
M6,3,49
I5,2,10054
M7,3,49
I5,2,10054
G7,1,5055
I11,2,-Infinity
D8,3,4
I11,2,4
D9,3,0
I11,2,4
D10,3,4
I11,2,4
E8,3,4
I11,2,4
E10,3,4
I11,2,4
F6,3,4999
I11,2,4999
F7,3,504
I11,2,4999
F8,3,49
I11,2,4999
F10,3,10
I11,2,4999
F11,3,505
I11,2,4999
F12,3,4
I11,2,4999
F13,3,0
I11,2,4999
G6,3,0
I11,2,4999
G13,3,0
I11,2,4999
H5,3,-1
I11,2,4999
H6,3,54
I11,2,4999
H7,3,51
I11,2,4999
H12,3,4
I11,2,4999
H13,3,4
I11,2,4999
I5,3,-1
I11,2,4999
I12,3,-1
I11,2,4999
J5,3,-1
I11,2,4999
J6,3,14
I11,2,4999
J7,3,51
I11,2,4999
J10,3,4999
I11,2,4999
J11,3,999
I11,2,4999
J12,3,-1
I11,2,4999
K5,3,-1
I11,2,4999
K6,3,0
I11,2,4999
K9,3,49
I11,2,4999
K10,3,-1
I11,2,4999
L5,3,-1
I11,2,4999
L7,3,10004
I11,2,10004
L8,3,4
I11,2,10004
L9,3,-1
I11,2,10004
M5,3,-1
I11,2,10004
M6,3,-1
I11,2,10004
M7,3,-1
I11,2,10004
G7,1,5055
I12,2,-Infinity
D8,3,54
I12,2,54
D9,3,50
I12,2,54
D10,3,54
I12,2,54
E8,3,54
I12,2,54
E10,3,54
I12,2,54
F6,3,5049
I12,2,5049
F7,3,554
I12,2,5049
F8,3,99
I12,2,5049
F10,3,60
I12,2,5049
F11,3,55
I12,2,5049
F12,3,54
I12,2,5049
F13,3,50
I12,2,5049
G6,3,50
I12,2,5049
G13,3,50
I12,2,5049
H5,3,49
I12,2,5049
H6,3,104
I12,2,5049
H7,3,101
I12,2,5049
H12,3,50
I12,2,5049
H13,3,54
I12,2,5049
I5,3,49
I12,2,5049
I11,3,50
I12,2,5049
I13,3,49
I12,2,5049
J5,3,49
I12,2,5049
J6,3,64
I12,2,5049
J7,3,101
I12,2,5049
J10,3,5049
I12,2,5049
J11,3,549
I12,2,5049
J12,3,49
I12,2,5049
J13,3,49
I12,2,5049
K5,3,49
I12,2,5049
K6,3,50
I12,2,5049
K9,3,99
I12,2,5049
K10,3,49
I12,2,5049
L5,3,49
I12,2,5049
L7,3,10054
I12,2,10054
L8,3,54
I12,2,10054
L9,3,49
I12,2,10054
M5,3,49
I12,2,10054
M6,3,49
I12,2,10054
M7,3,49
I12,2,10054
G7,1,5055
J5,2,-Infinity
D8,3,50
J5,2,50
D9,3,46
J5,2,50
D10,3,50
J5,2,50
E8,3,50
J5,2,50
E10,3,50
J5,2,50
F6,3,5045
J5,2,5045
F7,3,550
J5,2,5045
F8,3,95
J5,2,5045
F10,3,56
J5,2,5045
F11,3,51
J5,2,5045
F12,3,50
J5,2,5045
F13,3,46
J5,2,5045
G6,3,46
J5,2,5045
G13,3,46
J5,2,5045
H5,3,45
J5,2,5045
H6,3,100
J5,2,5045
H7,3,97
J5,2,5045
H12,3,50
J5,2,5045
H13,3,50
J5,2,5045
I4,3,45
J5,2,5045
I5,3,45
J5,2,5045
I11,3,46
J5,2,5045
I12,3,45
J5,2,5045
J4,3,45
J5,2,5045
J6,3,60
J5,2,5045
J7,3,97
J5,2,5045
J10,3,5045
J5,2,5045
J11,3,545
J5,2,5045
K4,3,45
J5,2,5045
K5,3,45
J5,2,5045
K6,3,46
J5,2,5045
K9,3,95
J5,2,5045
K10,3,45
J5,2,5045
L5,3,45
J5,2,5045
L7,3,10050
J5,2,10050
L8,3,50
J5,2,10050
L9,3,45
J5,2,10050
M5,3,45
J5,2,10050
M6,3,45
J5,2,10050
M7,3,45
J5,2,10050
G7,1,5055
J6,2,-Infinity
D8,3,50
J6,2,50
D9,3,46
J6,2,50
D10,3,50
J6,2,50
E8,3,50
J6,2,50
E10,3,50
J6,2,50
F6,3,5045
J6,2,5045
F7,3,550
J6,2,5045
F8,3,95
J6,2,5045
F10,3,56
J6,2,5045
F11,3,51
J6,2,5045
F12,3,50
J6,2,5045
F13,3,46
J6,2,5045
G6,3,46
J6,2,5045
G13,3,46
J6,2,5045
H5,3,45
J6,2,5045
H6,3,100
J6,2,5045
H7,3,97
J6,2,5045
H12,3,50
J6,2,5045
H13,3,50
J6,2,5045
I5,3,45
J6,2,5045
I11,3,46
J6,2,5045
I12,3,45
J6,2,5045
J5,3,45
J6,2,5045
J7,3,96
J6,2,5045
J10,3,5045
J6,2,5045
J11,3,545
J6,2,5045
K5,3,45
J6,2,5045
K6,3,46
J6,2,5045
K9,3,95
J6,2,5045
K10,3,45
J6,2,5045
L5,3,45
J6,2,5045
L7,3,10050
J6,2,10050
L8,3,46
J6,2,10050
L9,3,45
J6,2,10050
M5,3,45
J6,2,10050
M6,3,45
J6,2,10050
M7,3,45
J6,2,10050
G7,1,5055
J7,2,-Infinity
D8,3,5
J7,2,5
D9,3,1
J7,2,5
D10,3,5
J7,2,5
E8,3,5
J7,2,5
E10,3,5
J7,2,5
F6,3,5000
J7,2,5000
F7,3,505
J7,2,5000
F8,3,50
J7,2,5000
F10,3,11
J7,2,5000
F11,3,6
J7,2,5000
F12,3,5
J7,2,5000
F13,3,1
J7,2,5000
G6,3,1
J7,2,5000
G13,3,1
J7,2,5000
H5,3,500
J7,2,5000
H6,3,55
J7,2,5000
H7,3,12
J7,2,5000
H12,3,5
J7,2,5000
H13,3,5
J7,2,5000
I5,3,0
J7,2,5000
I11,3,1
J7,2,5000
I12,3,0
J7,2,5000
J5,3,0
J7,2,5000
J6,3,15
J7,2,5000
J10,3,5000
J7,2,5000
J11,3,500
J7,2,5000
K5,3,0
J7,2,5000
K6,3,1
J7,2,5000
K9,3,50
J7,2,5000
K10,3,0
J7,2,5000
L5,3,0
J7,2,5000
L7,3,10001
J7,2,10001
L8,3,5
J7,2,10001
L9,3,500
J7,2,10001
M5,3,0
J7,2,10001
M6,3,0
J7,2,10001
M7,3,0
J7,2,10001
G7,1,5055
J10,2,-Infinity
D8,3,-447
J10,2,-447
D9,3,-451
J10,2,-447
D10,3,-447
J10,2,-447
E8,3,-447
J10,2,-447
E10,3,-447
J10,2,-447
F6,3,548
J10,2,548
F7,3,53
J10,2,548
F8,3,-402
J10,2,548
F10,3,-441
J10,2,548
F11,3,-446
J10,2,548
F12,3,-447
J10,2,548
F13,3,-451
J10,2,548
G6,3,-451
J10,2,548
G13,3,-451
J10,2,548
H5,3,-452
J10,2,548
H6,3,-397
J10,2,548
H7,3,-400
J10,2,548
H12,3,-447
J10,2,548
H13,3,-447
J10,2,548
I5,3,-452
J10,2,548
I11,3,-451
J10,2,548
I12,3,-452
J10,2,548
J5,3,-452
J10,2,548
J6,3,-437
J10,2,548
J7,3,-400
J10,2,548
J11,3,48
J10,2,548
K5,3,-452
J10,2,548
K6,3,-451
J10,2,548
K9,3,-402
J10,2,548
K10,3,-452
J10,2,548
K11,3,-452
J10,2,548
L5,3,-452
J10,2,548
L7,3,9553
J10,2,9553
L8,3,-447
J10,2,9553
L9,3,-452
J10,2,9553
M5,3,-452
J10,2,9553
M6,3,-452
J10,2,9553
M7,3,-452
J10,2,9553
G7,1,5055
J11,2,-Infinity
D8,3,-4945
J11,2,-4945
D9,3,-4949
J11,2,-4945
D10,3,-4945
J11,2,-4945
E8,3,-4945
J11,2,-4945
E10,3,-4945
J11,2,-4945
F6,3,50
J11,2,50
F7,3,-4945
J11,2,50
F8,3,-4900
J11,2,50
F10,3,-4939
J11,2,50
F11,3,-4944
J11,2,50
F12,3,-4945
J11,2,50
F13,3,-4949
J11,2,50
G6,3,-4949
J11,2,50
G13,3,-4949
J11,2,50
H5,3,-4950
J11,2,50
H6,3,-4895
J11,2,50
H7,3,-4898
J11,2,50
H12,3,-4945
J11,2,50
H13,3,-4945
J11,2,50
I5,3,-4950
J11,2,50
I11,3,-4949
J11,2,50
I12,3,-4950
J11,2,50
J5,3,-4950
J11,2,50
J6,3,-4935
J11,2,50
J7,3,-4898
J11,2,50
J10,3,50
J11,2,50
J12,3,-4950
J11,2,50
K5,3,-4950
J11,2,50
K6,3,-4949
J11,2,50
K9,3,-4900
J11,2,50
K10,3,-4950
J11,2,50
K11,3,-4950
J11,2,50
K12,3,-4950
J11,2,50
L5,3,-4950
J11,2,50
L7,3,5055
J11,2,5055
L8,3,-4945
J11,2,5055
L9,3,-4950
J11,2,5055
M5,3,-4950
J11,2,5055
M6,3,-4950
J11,2,5055
M7,3,-4950
J11,2,5055
G7,1,5055
K5,2,-Infinity
D8,3,50
K5,2,50
D9,3,46
K5,2,50
D10,3,50
K5,2,50
E8,3,50
K5,2,50
E10,3,50
K5,2,50
F6,3,5045
K5,2,5045
F7,3,550
K5,2,5045
F8,3,95
K5,2,5045
F10,3,56
K5,2,5045
F11,3,51
K5,2,5045
F12,3,50
K5,2,5045
F13,3,46
K5,2,5045
G6,3,46
K5,2,5045
G13,3,46
K5,2,5045
H5,3,45
K5,2,5045
H6,3,100
K5,2,5045
H7,3,97
K5,2,5045
H12,3,50
K5,2,5045
H13,3,50
K5,2,5045
I5,3,45
K5,2,5045
I11,3,46
K5,2,5045
I12,3,45
K5,2,5045
J4,3,45
K5,2,5045
J5,3,45
K5,2,5045
J6,3,50
K5,2,5045
J7,3,97
K5,2,5045
J10,3,5045
K5,2,5045
J11,3,545
K5,2,5045
K4,3,45
K5,2,5045
K6,3,45
K5,2,5045
K9,3,95
K5,2,5045
K10,3,45
K5,2,5045
L4,3,45
K5,2,5045
L5,3,45
K5,2,5045
L7,3,10050
K5,2,10050
L8,3,50
K5,2,10050
L9,3,45
K5,2,10050
M5,3,45
K5,2,10050
M6,3,45
K5,2,10050
M7,3,45
K5,2,10050
G7,1,5055
K6,2,-Infinity
D8,3,50
K6,2,50
D9,3,46
K6,2,50
D10,3,50
K6,2,50
E8,3,50
K6,2,50
E10,3,50
K6,2,50
F6,3,5045
K6,2,5045
F7,3,550
K6,2,5045
F8,3,95
K6,2,5045
F10,3,56
K6,2,5045
F11,3,51
K6,2,5045
F12,3,50
K6,2,5045
